,Ø Êmbolo (mm),Ø Haste (mm),Curso (mm),Modelo,Norma,Fabricante,Comprimento Total (mm),Rosca Haste,Conexão Pneumática,▯ Distância Quadrada Fixações (mm),Parafuso de Fixação,Pressão Máxima (Bar)
31,40,16,20,DSBC-40-20-PPSA-N3,15552,Festo,177.9,"M12x1,25",G1/4,38.0,M6,12
32,40,16,125,DSBC-40-125-PPSA-N3,15552,Festo,282.9,"M12x1,25",G1/4,38.0,M6,12
33,40,16,150,DSBC-40-150-PPSA-N3,15552,Festo,307.9,"M12x1,25",G1/4,38.0,M6,12
34,40,16,250,DSBC-40-250-PPSA-N3,15552,Festo,407.9,"M12x1,25",G1/4,38.0,M6,12
35,40,16,300,DSBC-40-300-PPSA-N3,15552,Festo,457.9,"M12x1,25",G1/4,38.0,M6,12
36,50,20,80,DSBC-50-80-PPSA-N3,15552,Festo,253.8,"M16x1,5",G1/4,46.5,M8,12
37,50,20,100,DSBC-50-100-PPSA-N3,15552,Festo,273.8,"M16x1,5",G1/4,46.5,M8,12
38,50,20,125,DSBC-50-125-PPSA-N3,15552,Festo,298.8,"M16x1,5",G1/4,46.5,M8,12
39,50,20,50,DSBC-50-50-PPSA-N3,15552,Festo,223.8,"M16x1,5",G1/4,46.5,M8,12
40,50,20,300,DSBC-50-300-PPSA-N3,15552,Festo,473.8,"M16x1,5",G1/4,46.5,M8,12
41,50,20,320,DSBC-50-320-PPSA-N3,15552,Festo,493.8,"M16x1,5",G1/4,46.5,M8,12
42,50,20,400,DSBC-50-400-PPSA-N3,15552,Festo,573.8,"M16x1,5",G1/4,46.5,M8,12
43,50,20,500,DSBC-50-500-PPSA-N3,15552,Festo,673.8,"M16x1,5",G1/4,46.5,M8,12
44,50,20,200,DSBC-50-200-PPSA-N3,15552,Festo,373.8,"M16x1,5",G1/4,46.5,M8,12
45,50,20,250,DSBC-50-250-PPSA-N3,15552,Festo,423.8,"M16x1,5",G1/4,46.5,M8,12
46,50,20,150,DSBC-50-150-PPSA-N3,15552,Festo,323.8,"M16x1,5",G1/4,46.5,M8,12
47,50,20,160,DSBC-50-160-PPSA-N3,15552,Festo,333.8,"M16x1,5",G1/4,46.5,M8,12
48,50,20,25,DSBC-50-25-PPSA-N3,15552,Festo,198.8,"M16x1,5",G1/4,46.5,M8,12
49,50,20,40,DSBC-50-40-PPSA-N3,15552,Festo,213.8,"M16x1,5",G1/4,46.5,M8,12
50,50,20,20,DSBC-50-20-PPSA-N3,15552,Festo,193.8,"M16x1,5",G1/4,46.5,M8,12
51,50,20,30,DSBC-50-30-PPSA-N3,15552,Festo,203.8,"M16x1,5",G1/4,46.5,M8,12
52,50,20,60,DSBC-50-60-PPSA-N3,15552,Festo,233.8,"M16x1,5",G1/4,46.5,M8,12
53,50,20,70,DSBC-50-70-PPSA-N3,15552,Festo,243.8,"M16x1,5",G1/4,46.5,M8,12
